author,books_num,mean_rating,mean_review_count
Марк Ли,1,4.2,3.0
Марк Лутц,1,3.7,12.0
Марк Ричардс,1,5.0,5.0
Марк Саммерфильд,2,3.75,3.0
Марк Симан,2,4.15,1.5
Марк Хеклер,1,3.0,3.0
Мартин Клеппман,1,4.0,11.0
Мартин Фаулер,2,4.35,1.0
Марчелло Ла Рокка,1,0.0,0.0
Маттиас Нобак,1,4.0,0.0
Мехди Меджуи,1,1.5,3.0
Мигель Гринберг,1,4.2,5.0
Мигель Моралес,1,0.0,0.0
Мика Мартин,1,4.5,3.0
Митч Сеймур,1,5.0,1.0
Михаил Буза,1,3.0,0.0
Михаил Момот,1,4.8,8.0
Михаил Семынин,1,4.9,1.0
Михаил Фленов,4,3.925,4.0
Михал Плахта,1,5.0,1.0
Михал Яворски,1,4.0,4.0
Михалис Цукалос,3,4.533333333333333,2.0
Мод Лемер,1,1.0,1.0
Мэтью Болл,2,4.35,2.5
Мэтью Хайлэнд,1,5.0,2.0
Н. А. Валиотти,1,5.0,0.0
Н. А. Вихорь,1,3.0,1.0
Н. Б. Дворкина,1,0.0,0.0
Н. В. Вареникова,1,5.0,2.0
Н. В. Заборовский,2,0.0,0.0
Н. В. Ильина,1,0.0,0.0
Н. В. Каблукова,1,5.0,0.0
Н. В. Крапухина,1,0.0,0.0
Н. В. Орлова,1,0.0,0.0
Н. В. Шилов,2,0.0,0.0
Н. В. Яндыбаева,1,0.0,0.0
Н. Г. Губанов,1,0.0,0.0
Н. Д. Москин,1,0.0,0.0
Н. З. Емельянова,3,0.0,0.0
Н. И. Лыгина,1,5.0,0.0
Н. Н. Гущинский,1,0.0,0.0
Н. Н. Иванов,1,4.8,2.0
Н. Н. Пашков,1,5.0,0.0
Н. Н. Прокимнов,2,2.5,0.0
Н. С. Живчикова,1,0.0,0.0
Н. Ю. Комлев,2,4.35,1.5
Н. Ю. Сиротинина,1,0.0,0.0
Наоми Седер,1,4.0,3.0
Наталия Сергеевна Михеева,1,5.0,1.0
Наталья Андрианова,4,4.65,0.5
Никита Борисович Культин,2,2.5,0.5
Никита Зайцев aka WildHare,2,4.9,0.5
Никита Игоревич Веселко,1,3.8,5.0
Никлаус Вирт,1,4.0,3.0
Николай Вильчинский,1,5.0,0.0
Николай Енин,1,4.0,1.0
Николай Прохоренок,4,4.45,2.5
Николай Секунов,1,4.8,4.0
Нил Форд,2,2.5,2.5
Нилаб Нисчал,1,4.5,4.0
Нин Ван,1,4.5,1.0
Нина Комолова,3,4.366666666666666,5.333333333333333
Нина Пушкина,1,3.0,4.0
Нишант Шакла,1,4.0,2.0
О. А. Баюк,1,0.0,0.0
О. А. Страхов,1,5.0,0.0
О. А. Феоктистова,1,3.8,2.0
О. Б. Бутусов,2,0.0,0.0
О. Б. Гусева,1,4.5,1.0
О. В. Горшков,1,0.0,0.0
О. В. Лауферман,1,5.0,0.0
О. В. Мичасова,1,0.0,0.0
О. В. Непомнящий,1,0.0,0.0
О. В. Носова,1,0.0,0.0
О. В. Саяпин,1,1.4,2.0
О. В. Стоянова,4,1.25,0.25
О. В. Тиханычев,2,0.7,1.0
О. В. Туркин,1,5.0,1.0
О. Д. Ядрышников,1,0.0,0.0
О. Е. Аверченков,1,4.3,2.0
О. И. Гуськова,1,3.7,2.0
О. М. Гущина,1,0.0,0.0
О. М. Проталинский,1,0.0,0.0
Оксана М,1,0.0,0.0
Олег Калашников,1,4.3,4.0
Олег Олегович,1,0.0,0.0
Олег Цилюрик,3,1.3333333333333333,0.6666666666666666
Оливер Теобальд,1,5.0,0.0
Ольга Аникина,1,0.0,0.0
Ольга Вениаминовна Максименкова,1,3.8,5.0
Ольга Назина,2,4.2,6.0
П. А. Головинский,1,5.0,1.0
П. А. Кулагин,1,0.0,0.0
П. А. Манахов,1,0.0,0.0
П. И. Кандалов,1,0.0,0.0
П. Кулпеппер,1,0.0,0.0
П. Н. Бибило,2,4.0,0.5
П. П. Кейно,3,1.0,0.0
П. Ф. Войтко,1,0.0,0.0
Паван Вора,1,5.0,2.0
Павел Агуров,1,5.0,0.0
Павел Борисович Лукьянов,4,0.0,0.0
